Round#,Training Loss,ACC,Pre,recall,f1-score,
1,2.238829357,0.175972256,0.180838459,0.175972256,0.152364378,2.265247543
2,2.193663873,0.21632284,0.216730811,0.21632284,0.203542967,2.219549107
3,2.144407044,0.23696356,0.244514693,0.23696356,0.223013995,2.169711047
4,2.104598198,0.239007396,0.267453817,0.239007396,0.213430484,2.129432457
5,2.059188135,0.2650916,0.273058269,0.2650916,0.245670698,2.083486555
6,2.027320661,0.275938096,0.284019229,0.275938096,0.255536958,2.051243045
7,1.997004958,0.285772792,0.292625301,0.285772792,0.26748959,2.020569617
8,1.965938322,0.301273568,0.299037278,0.301273568,0.287897879,1.989136394
9,1.955751956,0.300362948,0.308191894,0.300362948,0.290490049,1.978829829
10,1.929174614,0.313597292,0.307542037,0.313597292,0.30192237,1.951938874
11,1.909079171,0.321023904,0.312562201,0.321023904,0.309458273,1.931606306
12,1.889699087,0.328086268,0.321178309,0.328086268,0.319314046,1.911997536
13,1.87765451,0.33197158,0.327921571,0.33197158,0.322661108,1.899810834
14,1.868008196,0.334177304,0.331713529,0.334177304,0.323123467,1.890050693
15,1.859650198,0.336241376,0.333418762,0.336241376,0.324470433,1.88159407
16,1.851298129,0.335978308,0.331821115,0.335978308,0.322742441,1.873143447
17,1.834019156,0.3424943,0.337385926,0.3424943,0.326737219,1.855660582
18,1.82268134,0.347796132,0.340609177,0.347796132,0.334679081,1.844188979
19,1.81299866,0.351620736,0.34387299,0.351620736,0.333708197,1.834392044
20,1.812851517,0.3521064,0.345449455,0.3521064,0.337798322,1.834243164
21,1.810319847,0.35332056,0.345494469,0.35332056,0.340828796,1.831681621
22,1.80678723,0.354898968,0.353830998,0.354898968,0.340159886,1.828107319
23,1.789517644,0.359735372,0.355775704,0.359735372,0.34701148,1.810633952
24,1.784998309,0.36495626,0.362716217,0.36495626,0.353149058,1.806061289
25,1.782466244,0.369752192,0.366123723,0.369752192,0.360436615,1.803499346
26,1.7669686,0.373010188,0.371721876,0.373010188,0.362937134,1.787818829
27,1.774493743,0.370399744,0.367116642,0.370399744,0.358598456,1.795432769
28,1.767674867,0.375499216,0.372201626,0.375499216,0.364607432,1.78853343
29,1.767803333,0.375033788,0.374226652,0.375033788,0.368045259,1.788663412
30,1.752867184,0.37972854,0.375938601,0.37972854,0.368577691,1.773551016
31,1.74598358,0.3799309,0.376003466,0.3799309,0.369668196,1.766586186
32,1.739018648,0.385313676,0.380842498,0.385313676,0.379138644,1.759539068
33,1.735974992,0.385920756,0.379607282,0.385920756,0.378013011,1.756459497
34,1.731259697,0.386527836,0.381154014,0.386527836,0.376487525,1.751688561
35,1.718286014,0.390777396,0.389086529,0.390777396,0.381879717,1.738561789
36,1.720505116,0.393711616,0.390062294,0.393711616,0.385535018,1.740807076
37,1.729391603,0.395148372,0.392974525,0.395148372,0.382860038,1.749798424
38,1.717512253,0.398204008,0.395122645,0.398204008,0.390319105,1.737778898
39,1.715167551,0.397394568,0.393881499,0.397394568,0.390034736,1.735406528
40,1.717632517,0.4001669,0.394898317,0.4001669,0.392658466,1.737900581
41,1.713092529,0.399600292,0.39680233,0.399600292,0.391904168,1.733307021
42,1.71597244,0.399236044,0.394349153,0.399236044,0.389558471,1.736220915
43,1.722689532,0.399944304,0.395174058,0.399944304,0.392304294,1.743017268
44,1.704764375,0.402736872,0.395962674,0.402736872,0.392402141,1.724880594
45,1.701281365,0.405569912,0.400873102,0.405569912,0.399035234,1.721356485
46,1.698166262,0.404436696,0.399357726,0.404436696,0.396124318,1.718204624
47,1.704413168,0.405853216,0.402617581,0.405853216,0.398334131,1.724525244
48,1.691075136,0.411559768,0.407983457,0.411559768,0.403494316,1.711029823
49,1.69160827,0.411377644,0.410504554,0.411377644,0.402511071,1.711569248
50,1.684319208,0.412429916,0.407277882,0.412429916,0.403645453,1.704194175
51,1.694886723,0.411843072,0.406738526,0.411843072,0.402718795,1.714886386
52,1.680649429,0.414392808,0.410547984,0.414392808,0.405589103,1.700481092
53,1.674262791,0.417549624,0.412743136,0.417549624,0.40952691,1.694019092
54,1.673641213,0.417509152,0.41290388,0.417509152,0.408654983,1.69339018
55,1.667930307,0.418844728,0.413971062,0.418844728,0.412671393,1.687611884
56,1.676428036,0.420261248,0.417994449,0.420261248,0.411250325,1.696209887
57,1.668536073,0.424187032,0.417479032,0.424187032,0.417122982,1.688224799
58,1.675480253,0.420868328,0.413824017,0.420868328,0.409668643,1.69525092
59,1.666130893,0.425805912,0.418282278,0.425805912,0.418272037,1.685791238
60,1.69728459,0.423923964,0.41878449,0.423923964,0.416009909,1.717312548
61,1.673815828,0.426939128,0.421708613,0.426939128,0.418899284,1.693566855
62,1.673573126,0.426251104,0.419628682,0.426251104,0.415623834,1.693321289
63,1.666464015,0.426655824,0.420593216,0.426655824,0.419834106,1.686128291
64,1.68348665,0.428355648,0.421368985,0.428355648,0.419890308,1.703351792
65,1.667338276,0.430642316,0.424920386,0.430642316,0.42311634,1.687012868
66,1.669788024,0.431208924,0.425427272,0.431208924,0.422936567,1.689491522
67,1.666691993,0.43082444,0.426009724,0.43082444,0.424197872,1.686358959
68,1.677283521,0.429751932,0.425424954,0.429751932,0.423807756,1.697075466
69,1.677002872,0.433677716,0.427999599,0.433677716,0.427418401,1.696791506
70,1.679613301,0.433617008,0.429152203,0.433617008,0.426450843,1.699432738
71,1.671353925,0.432564736,0.431181907,0.432564736,0.427765144,1.691075902
72,1.67132003,0.432321904,0.42749096,0.432321904,0.424120147,1.691041607
73,1.675015701,0.430338776,0.425573852,0.430338776,0.420999363,1.694780886
74,1.686495126,0.432524264,0.427521036,0.432524264,0.424474269,1.706395768
75,1.695072702,0.430763732,0.42560502,0.430763732,0.421907099,1.71507456
76,1.687366224,0.432767096,0.426632133,0.432767096,0.423584123,1.707277146
77,1.69682735,0.43335394,0.429389412,0.43335394,0.425928843,1.716849913
78,1.669731598,0.436652408,0.431670966,0.436652408,0.429719208,1.68943443
79,1.690374898,0.429387684,0.425218391,0.429387684,0.421303654,1.710321322
80,1.695613939,0.430541136,0.42619758,0.430541136,0.424212885,1.715622184
81,1.682655574,0.434203852,0.430523204,0.434203852,0.427646046,1.702510909
82,1.677772087,0.434649044,0.431637468,0.434649044,0.430418139,1.697569797
83,1.689340549,0.433009928,0.427127566,0.433009928,0.425847122,1.709274767
84,1.670779584,0.437684444,0.431209279,0.437684444,0.432041982,1.690494783
85,1.666435061,0.440213944,0.438088888,0.440213944,0.435990311,1.686098995
86,1.7038913,0.440375832,0.438312463,0.440375832,0.433961495,1.723997217
87,1.682016406,0.43831176,0.434085283,0.43831176,0.431963083,1.701864199
88,1.68891088,0.441023384,0.435930875,0.441023384,0.434898733,1.708840028
89,1.676994966,0.442520848,0.438387218,0.442520848,0.437416372,1.696783507
90,1.674713608,0.442743444,0.437428026,0.442743444,0.435430602,1.694475228
91,1.672014241,0.440578192,0.437040402,0.440578192,0.430998939,1.691744009
92,1.666275961,0.445111056,0.439799658,0.445111056,0.438073867,1.685938017
93,1.654166459,0.447053712,0.441469702,0.447053712,0.438829218,1.673685624
94,1.659422992,0.44741796,0.441616981,0.44741796,0.440509861,1.679004183
95,1.669150734,0.444402796,0.443939803,0.444402796,0.436236664,1.688846712
96,1.692277479,0.4426625,0.439116214,0.4426625,0.433183876,1.712246354
97,1.673784601,0.44701324,0.443616607,0.44701324,0.44152924,1.693535259
98,1.668120634,0.449380852,0.447137312,0.449380852,0.443440871,1.687804457
99,1.67174881,0.449886752,0.445691349,0.449886752,0.443004085,1.691475446
100,1.66533727,0.451303272,0.446856991,0.451303272,0.445017864,1.68498825
