Round#,Training Loss,ACC,Pre,recall,f1-score
1,0.058788054,0.9815666666666667,0.981481078396423,0.9815740875930696,0.9815066542724722
2,0.03563405,0.9898166666666667,0.9897536145863907,0.9897540012750055,0.9897507102697188
3,0.025539663,0.9928,0.99275427602877,0.992766135598236,0.992759137438537
4,0.020511573,0.9942166666666666,0.9941837694865325,0.9941727576988362,0.9941768258646067
5,0.016434789,0.99515,0.9951375997308194,0.9951188780522987,0.9951274476120215
6,0.0136388745,0.9959333333333333,0.9959183792914796,0.9959161268171319,0.9959164144662577
7,0.010799258,0.9966333333333334,0.9966363700391325,0.9966034291223004,0.9966191700334385
8,0.009125972,0.9972333333333333,0.9972319635266318,0.9972102425157134,0.9972203921991522
9,0.0075448197,0.9977166666666667,0.9977155088504339,0.9977099779466221,0.997712283978785
10,0.0057972446,0.99835,0.9983599398716189,0.9983478856914632,0.9983538083549612
11,0.004884883,0.9987,0.9987108854797626,0.9987026656971286,0.9987066066605295
12,0.004236093,0.99875,0.9987544661152865,0.9987557096030454,0.9987548113270691
13,0.003378565,0.9991,0.9991059369698585,0.9991017930239581,0.9991038147051128
14,0.0031553013,0.9991333333333333,0.9991452821248108,0.9991296008592518,0.9991373482647115
15,0.0024110067,0.9993333333333333,0.9993449999275844,0.9993335317300606,0.9993392225478296
16,0.0019672723,0.99945,0.9994595241653244,0.9994520925496261,0.9994557579710959
17,0.0017214813,0.99955,0.9995609498242974,0.9995516911441124,0.9995562985533866
18,0.0012430951,0.9996333333333334,0.9996450409706407,0.9996345839991913,0.9996397948443431
19,0.0009318711,0.9997833333333334,0.9997892854292714,0.9997842590578138,0.9997867654820197
20,0.0009118797,0.9997166666666667,0.9997219967532308,0.9997169450892569,0.9997194508200529
21,0.00079979224,0.9997166666666667,0.9997272220124938,0.999719957881069,0.9997235756794882
22,0.0005941249,0.9997833333333334,0.999788333174911,0.9997850199045228,0.9997866649031856
23,0.00048401058,0.9998666666666667,0.999870331185107,0.9998697010852888,0.9998699907922102
24,0.00042431746,0.9998666666666667,0.9998654728624288,0.9998641805658423,0.9998648227886854
25,0.00033833692,0.99985,0.9998509033485948,0.9998501343050602,0.99985051181626
26,0.00022781412,0.9999333333333333,0.9999341398050376,0.9999347974411362,0.999934464510131
27,0.00030754466,0.9999166666666667,0.9999156902514809,0.9999181380272202,0.9999169115139622
28,0.00016303267,0.9999666666666667,0.9999688619127042,0.9999655915270239,0.9999672240172863
29,0.00015418016,0.9999666666666667,0.9999665776110017,0.9999647436711401,0.9999656576865712
30,8.176694e-05,1.0,1.0,1.0,1.0
31,8.5691245e-05,1.0,1.0,1.0,1.0
32,9.149056e-05,0.9999833333333333,0.9999828855040219,0.9999831904521768,0.9999830365393102
33,8.405563e-05,0.9999833333333333,0.9999828855040219,0.9999831904521768,0.9999830365393102
34,5.05951e-05,1.0,1.0,1.0,1.0
35,5.1977273e-05,1.0,1.0,1.0,1.0
36,4.3503063e-05,1.0,1.0,1.0,1.0
37,4.7915677e-05,1.0,1.0,1.0,1.0
38,5.430114e-05,1.0,1.0,1.0,1.0
39,4.4949753e-05,1.0,1.0,1.0,1.0
40,5.249306e-05,0.9999833333333333,0.9999828855040219,0.9999831904521768,0.9999830365393102
41,3.391546e-05,1.0,1.0,1.0,1.0
42,3.8228383e-05,1.0,1.0,1.0,1.0
43,1.777424e-05,1.0,1.0,1.0,1.0
44,2.202877e-05,1.0,1.0,1.0,1.0
45,1.614933e-05,1.0,1.0,1.0,1.0
46,1.6006052e-05,1.0,1.0,1.0,1.0
47,1.3560684e-05,1.0,1.0,1.0,1.0
48,8.267084e-06,1.0,1.0,1.0,1.0
49,1.3815873e-05,1.0,1.0,1.0,1.0
50,1.1695298e-05,1.0,1.0,1.0,1.0
51,8.246395e-06,1.0,1.0,1.0,1.0
52,1.5279564e-05,1.0,1.0,1.0,1.0
53,1.692875e-05,1.0,1.0,1.0,1.0
54,1.2881131e-05,1.0,1.0,1.0,1.0
55,9.462612e-06,1.0,1.0,1.0,1.0
56,6.5708246e-06,1.0,1.0,1.0,1.0
57,9.507179e-06,1.0,1.0,1.0,1.0
58,3.7538537e-06,1.0,1.0,1.0,1.0
59,5.3086537e-06,1.0,1.0,1.0,1.0
60,7.509866e-06,1.0,1.0,1.0,1.0
61,5.053329e-06,1.0,1.0,1.0,1.0
62,4.3401797e-06,1.0,1.0,1.0,1.0
63,4.0724885e-06,1.0,1.0,1.0,1.0
64,6.668957e-06,1.0,1.0,1.0,1.0
65,5.5786554e-06,1.0,1.0,1.0,1.0
66,4.677249e-06,1.0,1.0,1.0,1.0
67,4.590044e-06,1.0,1.0,1.0,1.0
68,3.2826076e-06,1.0,1.0,1.0,1.0
69,2.9500172e-06,1.0,1.0,1.0,1.0
70,3.6909018e-06,1.0,1.0,1.0,1.0
71,4.656064e-06,1.0,1.0,1.0,1.0
72,3.3870392e-06,1.0,1.0,1.0,1.0
73,1.8956063e-06,1.0,1.0,1.0,1.0
74,2.1314986e-06,1.0,1.0,1.0,1.0
75,2.4781289e-06,1.0,1.0,1.0,1.0
76,4.018462e-06,1.0,1.0,1.0,1.0
77,2.1567962e-06,1.0,1.0,1.0,1.0
78,2.1279682e-06,1.0,1.0,1.0,1.0
79,2.0641749e-06,1.0,1.0,1.0,1.0
80,1.8929716e-06,1.0,1.0,1.0,1.0
81,2.0756434e-06,1.0,1.0,1.0,1.0
82,1.8731195e-06,1.0,1.0,1.0,1.0
83,1.7428245e-06,1.0,1.0,1.0,1.0
84,1.4571539e-06,1.0,1.0,1.0,1.0
85,1.7025437e-06,1.0,1.0,1.0,1.0
86,1.3564771e-06,1.0,1.0,1.0,1.0
87,1.018842e-06,1.0,1.0,1.0,1.0
88,1.1580107e-06,1.0,1.0,1.0,1.0
89,1.2976949e-06,1.0,1.0,1.0,1.0
90,1.4446483e-06,1.0,1.0,1.0,1.0
91,1.1774806e-06,1.0,1.0,1.0,1.0
92,1.9959937e-06,1.0,1.0,1.0,1.0
93,1.4494473e-06,1.0,1.0,1.0,1.0
94,1.1554041e-06,1.0,1.0,1.0,1.0
95,7.406719e-07,1.0,1.0,1.0,1.0
96,8.896258e-07,1.0,1.0,1.0,1.0
97,7.7865366e-07,1.0,1.0,1.0,1.0
98,9.799334e-07,1.0,1.0,1.0,1.0
99,9.004339e-07,1.0,1.0,1.0,1.0
100,1.2279597e-06,1.0,1.0,1.0,1.0
